#28178653-V-2020033000-T-01;ostatni_plneni.csv;2020-03-30T08:18:51.6+02:00;1.0
"IDOstatniPlneni";"IDProvozovatel";"IDUzivKonto";"HraDruh";"OstatniPlneniVysePuvodni";"OstatniPlneniCas";"MenaKod";"IDMisto"
"28178653-2478992026";"28178653";"28178653-10771931";"T";"5,00";"2020-03-30T01:03:36.0+02:00";"CZK";
"28178653-2479009080";"28178653";"28178653-12300737";"T";"5,00";"2020-03-30T02:45:19.0+02:00";"CZK";
"28178653-2478995653";"28178653";"28178653-12300737";"T";"5,00";"2020-03-30T01:24:06.0+02:00";"CZK";
"28178653-2479043568";"28178653";"28178653-10757620";"T";"5,00";"2020-03-30T07:50:15.0+02:00";"CZK";
"28178653-2479033718";"28178653";"28178653-10757620";"T";"15,00";"2020-03-30T06:35:28.0+02:00";"CZK";
"28178653-2479032829";"28178653";"28178653-10757620";"T";"5,00";"2020-03-30T06:27:01.0+02:00";"CZK";
"28178653-2479025044";"28178653";"28178653-10757620";"T";"5,00";"2020-03-30T05:14:50.0+02:00";"CZK";
"28178653-2479036377";"28178653";"28178653-10757620";"T";"5,00";"2020-03-30T06:58:34.0+02:00";"CZK";
"28178653-2479035923";"28178653";"28178653-10757620";"T";"5,00";"2020-03-30T06:54:23.0+02:00";"CZK";
"28178653-2479003177";"28178653";"28178653-10757620";"T";"35,00";"2020-03-30T02:00:39.0+02:00";"CZK";
"28178653-2478994196";"28178653";"28178653-10757620";"T";"15,00";"2020-03-30T01:16:57.0+02:00";"CZK";
"28178653-2478993091";"28178653";"28178653-10757620";"T";"15,00";"2020-03-30T01:11:17.0+02:00";"CZK";
"28178653-2479033164";"28178653";"28178653-12304066";"T";"5,00";"2020-03-30T06:30:51.0+02:00";"CZK";
"28178653-2479024411";"28178653";"28178653-12237782";"T";"5,00";"2020-03-30T05:04:37.0+02:00";"CZK";
"28178653-2479039256";"28178653";"28178653-10137071";"T";"5,00";"2020-03-30T07:21:35.0+02:00";"CZK";
"28178653-2479026203";"28178653";"28178653-12296483";"T";"15,00";"2020-03-30T05:23:27.0+02:00";"CZK";
"28178653-2478987803";"28178653";"28178653-12296483";"T";"15,00";"2020-03-30T00:43:04.0+02:00";"CZK";
"28178653-2479042112";"28178653";"28178653-10786697";"T";"10,00";"2020-03-30T07:42:43.0+02:00";"CZK";
"28178653-2479030680";"28178653";"28178653-10786697";"T";"12,50";"2020-03-30T06:02:58.0+02:00";"CZK";
"28178653-2479031593";"28178653";"28178653-10786697";"T";"10,00";"2020-03-30T06:14:10.0+02:00";"CZK";
