#28178653-V-2020033000-T-01;sebeomezeni.csv;2020-03-30T08:18:52.0+02:00;1.0
"IDNastaveniSO";"IDUzivKonto";"TypSO";"HodnotaVyse";"HodnotaPocet";"HodnotaCas";"SONastaveniCas";"SOUcinnostiCas";"SOOdmitnuti";"MenaKod"
"28178653-18381805";"28178653-11537616";"d";"200,00";;;"2020-03-30T07:30:28.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381479";"28178653-10785593";"e";;1;;"2020-03-30T04:21:36.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18380911";"28178653-11561717";"a";"100,00";;;"2020-03-30T00:03:43.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381453";"28178653-11389795";"c";"5,00";;;"2020-03-30T03:46:21.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381180";"28178653-11492689";"g";;;;"2020-03-30T01:53:28.0+02:00";"2020-03-30T01:53:28.0+02:00";1;
"28178653-18381808";"28178653-11691914";"a";"999999999,00";;;"2020-03-30T07:37:10.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381780";"28178653-11690493";"c";;;;"2020-03-30T06:59:43.0+02:00";"2020-03-30T06:59:43.0+02:00";1;
"28178653-18381779";"28178653-11690493";"a";;;;"2020-03-30T06:59:39.0+02:00";"2020-03-30T06:59:39.0+02:00";1;
"28178653-18381550";"28178653-11686709";"f";;;;"2020-03-30T04:57:10.0+02:00";"2020-03-30T04:57:10.0+02:00";1;
"28178653-18381551";"28178653-11686709";"e";;;;"2020-03-30T04:57:15.0+02:00";"2020-03-30T04:57:15.0+02:00";1;
"28178653-18381499";"28178653-11686709";"c";;;;"2020-03-30T04:26:06.0+02:00";"2020-03-30T04:26:06.0+02:00";1;
"28178653-18381493";"28178653-11686709";"g";;;;"2020-03-30T04:25:36.0+02:00";"2020-03-30T04:25:36.0+02:00";1;
"28178653-18381501";"28178653-11686709";"d";;;;"2020-03-30T04:26:15.0+02:00";"2020-03-30T04:26:15.0+02:00";1;
"28178653-18381498";"28178653-11686709";"a";;;;"2020-03-30T04:26:01.0+02:00";"2020-03-30T04:26:01.0+02:00";1;
"28178653-18381500";"28178653-11686709";"b";;;;"2020-03-30T04:26:08.0+02:00";"2020-03-30T04:26:08.0+02:00";1;
"28178653-18381602";"28178653-11864742";"e";;1;;"2020-03-30T05:36:14.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18381600";"28178653-11864742";"f";;;15;"2020-03-30T05:35:31.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18381603";"28178653-11864742";"g";;;365;"2020-03-30T05:37:12.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18381283";"28178653-11896146";"d";"999999999,00";;;"2020-03-30T02:19:16.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381279";"28178653-11896146";"c";"999999999,00";;;"2020-03-30T02:19:06.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381275";"28178653-11896146";"a";"999999999,00";;;"2020-03-30T02:19:00.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381281";"28178653-11896146";"b";"999999999,00";;;"2020-03-30T02:19:09.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381752";"28178653-11822833";"c";;;;"2020-03-30T06:48:02.0+02:00";"2020-03-30T06:48:02.0+02:00";1;
"28178653-18381751";"28178653-11822833";"a";;;;"2020-03-30T06:48:00.0+02:00";"2020-03-30T06:48:00.0+02:00";1;
"28178653-18381119";"28178653-11984952";"g";;;;"2020-03-30T01:28:51.0+02:00";"2020-03-30T01:28:51.0+02:00";1;
