#28178653-V-2020033000-T-01;konto_zmeny.csv;2020-03-30T08:18:05.1+02:00;1.0
"IDZaznamUzivKonto";"IDUzivKonto";"HraDruh";"Landbased";"Internet";"DocasneTrvale";"ZmenaCas"
"28178653-3050769";"28178653-12348683";"T";1;0;"T";"2020-03-30T00:06:54.0+02:00"
"28178653-3050701";"28178653-12348666";"T";1;0;"T";"2020-03-30T00:06:53.0+02:00"
"28178653-3050702";"28178653-12348632";"T";1;0;"T";"2020-03-30T00:06:53.0+02:00"
"28178653-3051025";"28178653-12354193";"T";1;1;"T";"2020-03-30T07:16:32.0+02:00"
"28178653-3051023";"28178653-12370170";"T";1;1;"D";"2020-03-30T07:14:36.0+02:00"
"28178653-3050126";"28178653-12368824";"T";1;1;"T";"2020-03-30T00:00:56.0+02:00"
"28178653-3051022";"28178653-12370169";"T";1;1;"D";"2020-03-30T07:12:03.0+02:00"
"28178653-3050837";"28178653-12368437";"T";1;1;"T";"2020-03-30T01:17:45.0+02:00"
"28178653-3050861";"28178653-12370022";"T";1;1;"T";"2020-03-30T02:00:53.0+02:00"
"28178653-3050855";"28178653-12370022";"T";1;1;"D";"2020-03-30T01:55:54.0+02:00"
"28178653-3050854";"28178653-12370021";"T";1;1;"D";"2020-03-30T01:49:09.0+02:00"
"28178653-3050886";"28178653-12370049";"T";1;1;"D";"2020-03-30T02:35:29.0+02:00"
"28178653-3050807";"28178653-12369986";"T";1;1;"D";"2020-03-30T00:34:34.0+02:00"
"28178653-3050818";"28178653-12369995";"T";1;1;"D";"2020-03-30T00:55:39.0+02:00"
"28178653-3050800";"28178653-12369979";"T";1;1;"D";"2020-03-30T00:22:32.0+02:00"
"28178653-3051037";"28178653-12370180";"T";1;1;"D";"2020-03-30T07:34:45.0+02:00"
"28178653-3050970";"28178653-12368421";"T";1;1;"T";"2020-03-30T04:50:53.0+02:00"
"28178653-3050905";"28178653-12370065";"T";1;1;"D";"2020-03-30T02:59:48.0+02:00"
"28178653-3050921";"28178653-12370080";"T";1;1;"D";"2020-03-30T03:22:24.0+02:00"
"28178653-3050953";"28178653-12370110";"T";1;1;"D";"2020-03-30T04:23:14.0+02:00"
"28178653-3050922";"28178653-12370081";"T";1;1;"D";"2020-03-30T03:23:40.0+02:00"
"28178653-3051001";"28178653-12370151";"T";1;1;"D";"2020-03-30T06:21:54.0+02:00"
"28178653-3051016";"28178653-12370164";"T";1;1;"D";"2020-03-30T06:55:45.0+02:00"
"28178653-3051012";"28178653-12370162";"T";1;1;"D";"2020-03-30T06:46:50.0+02:00"
"28178653-3050824";"28178653-12369475";"T";1;1;"T";"2020-03-30T01:01:45.0+02:00"
"28178653-3050839";"28178653-12370007";"T";1;1;"D";"2020-03-30T01:18:23.0+02:00"
"28178653-3051008";"28178653-12370158";"T";1;1;"D";"2020-03-30T06:37:21.0+02:00"
"28178653-3051015";"28178653-12370163";"T";1;1;"D";"2020-03-30T06:54:46.0+02:00"
"28178653-3050804";"28178653-12369983";"T";1;1;"D";"2020-03-30T00:30:53.0+02:00"
"28178653-3050832";"28178653-12370001";"T";1;1;"D";"2020-03-30T01:10:18.0+02:00"
"28178653-3050974";"28178653-12370126";"T";1;1;"D";"2020-03-30T04:55:40.0+02:00"
"28178653-3050862";"28178653-12370026";"T";1;1;"D";"2020-03-30T02:01:12.0+02:00"
"28178653-3050871";"28178653-12370035";"T";1;1;"D";"2020-03-30T02:11:27.0+02:00"
"28178653-3050902";"28178653-12370062";"T";1;1;"D";"2020-03-30T02:57:38.0+02:00"
"28178653-3050849";"28178653-12370016";"T";1;1;"D";"2020-03-30T01:39:36.0+02:00"
