#28178653-V-2020033000-T-01;hra_toky_oprava.csv;2020-03-30T08:18:48.5+02:00;1.0
"IDHraTokyOprava";"IDHraToky";"TypTokyOprava";"TokyOpravaVyse";"TokyOpravaCas";"MenaKod"
"28178653-5035353307";"28178653-5035351553";"G";"5,00";"2020-03-30T00:36:01.0+02:00";"CZK"
"28178653-5035418507";"28178653-5035302357";"G";"10,00";"2020-03-30T00:40:47.4+02:00";"CZK"
"28178653-5035417943";"28178653-5035300416";"G";"10,00";"2020-03-30T00:40:50.8+02:00";"CZK"
"28178653-5035569559";"28178653-5035564529";"G";"2,00";"2020-03-30T00:52:30.0+02:00";"CZK"
"28178653-5035517805";"28178653-5035515346";"G";"5,00";"2020-03-30T00:48:05.3+02:00";"CZK"
"28178653-5035452529";"28178653-5035446874";"G";"3,00";"2020-03-30T00:43:11.8+02:00";"CZK"
"28178653-5035329552";"28178653-5035325880";"G";"2,00";"2020-03-30T00:34:12.5+02:00";"CZK"
"28178653-5035679567";"28178653-5035573515";"G";"20,00";"2020-03-30T01:00:15.7+02:00";"CZK"
"28178653-5035701648";"28178653-5035444865";"G";"2,00";"2020-03-30T01:01:47.3+02:00";"CZK"
"28178653-5035690066";"28178653-5035517707";"G";"2,00";"2020-03-30T01:01:00.0+02:00";"CZK"
"28178653-5035690256";"28178653-5035517603";"G";"40,00";"2020-03-30T01:01:00.8+02:00";"CZK"
"28178653-5035686856";"28178653-5035536351";"G";"40,00";"2020-03-30T01:00:48.9+02:00";"CZK"
"28178653-5035691473";"28178653-5035516040";"G";"40,00";"2020-03-30T01:01:05.8+02:00";"CZK"
"28178653-5035705172";"28178653-5035433060";"G";"4,00";"2020-03-30T01:01:54.9+02:00";"CZK"
"28178653-5035697578";"28178653-5035451236";"G";"28,00";"2020-03-30T01:01:28.3+02:00";"CZK"
"28178653-5035430405";"28178653-5035220290";"G";"4,00";"2020-03-30T00:41:39.2+02:00";"CZK"
"28178653-5035427831";"28178653-5035228910";"G";"4,00";"2020-03-30T00:41:28.8+02:00";"CZK"
"28178653-5035414466";"28178653-5035327327";"G";"4,00";"2020-03-30T00:40:32.0+02:00";"CZK"
"28178653-5035411549";"28178653-5035366833";"G";"28,00";"2020-03-30T00:40:23.0+02:00";"CZK"
"28178653-5035293116";"28178653-5035248733";"G";"4,00";"2020-03-30T00:30:54.5+02:00";"CZK"
"28178653-5035291872";"28178653-5035249782";"G";"4,00";"2020-03-30T00:30:52.2+02:00";"CZK"
"28178653-5035287190";"28178653-5035267718";"G";"4,00";"2020-03-30T00:30:12.4+02:00";"CZK"
"28178653-5035136230";"28178653-5035133141";"G";"0,10";"2020-03-30T00:10:38.2+02:00";"CZK"
"28178653-5035427654";"28178653-5035228920";"G";"3,00";"2020-03-30T00:41:28.0+02:00";"CZK"
"28178653-5035287715";"28178653-5035266302";"G";"3,00";"2020-03-30T00:30:23.7+02:00";"CZK"
"28178653-5035291373";"28178653-5035250759";"G";"3,00";"2020-03-30T00:30:46.7+02:00";"CZK"
"28178653-5035290514";"28178653-5035252448";"G";"3,00";"2020-03-30T00:30:38.1+02:00";"CZK"
"28178653-5035290334";"28178653-5035263906";"G";"3,00";"2020-03-30T00:30:35.4+02:00";"CZK"
"28178653-5035409696";"28178653-5035367856";"G";"10,00";"2020-03-30T00:40:14.3+02:00";"CZK"
"28178653-5035217275";"28178653-5035214707";"G";"15,00";"2020-03-30T00:21:39.0+02:00";"CZK"
"28178653-5035201190";"28178653-5035197754";"G";"6,00";"2020-03-30T00:19:29.2+02:00";"CZK"
"28178653-5035182381";"28178653-5035180554";"G";"6,00";"2020-03-30T00:17:30.4+02:00";"CZK"
"28178653-5035230918";"28178653-5035214637";"G";"10,00";"2020-03-30T00:23:32.5+02:00";"CZK"
"28178653-5035438387";"28178653-5035202394";"G";"40,00";"2020-03-30T00:42:10.3+02:00";"CZK"
"28178653-5035441188";"28178653-5035200700";"G";"40,00";"2020-03-30T00:42:18.8+02:00";"CZK"
"28178653-5035302853";"28178653-5035299987";"G";"35,00";"2020-03-30T00:31:52.4+02:00";"CZK"
"28178653-5035220805";"28178653-5035146662";"G";"60,00";"2020-03-30T00:22:24.2+02:00";"CZK"
"28178653-5035208836";"28178653-5035159783";"G";"60,00";"2020-03-30T00:20:49.5+02:00";"CZK"
"28178653-5035211329";"28178653-5035158662";"G";"60,00";"2020-03-30T00:20:57.0+02:00";"CZK"
"28178653-5035213357";"28178653-5035156778";"G";"60,00";"2020-03-30T00:21:12.5+02:00";"CZK"
"28178653-5035219442";"28178653-5035149513";"G";"60,00";"2020-03-30T00:21:55.7+02:00";"CZK"
