#28178653-V-2020033000-T-01;prihlaseni.csv;2020-03-30T08:18:56.4+02:00;1.0
"idprihlaseni";"iduzivkonto";"prihlasenicas";"odhlasenicas";"idhernipozice"
"28178653-470942513";"28178653-10029258";"2020-03-29T23:53:12.0+02:00";"2020-03-30T00:22:43.1+02:00";
"28178653-470944390";"28178653-10029258";"2020-03-30T00:30:14.0+02:00";"2020-03-30T00:30:14.1+02:00";
"28178653-470946572";"28178653-10029258";"2020-03-30T00:36:19.0+02:00";"2020-03-30T00:38:19.1+02:00";
"28178653-470949716";"28178653-10029258";"2020-03-30T00:54:20.0+02:00";"2020-03-30T00:54:20.1+02:00";
"28178653-470984084";"28178653-10029267";"2020-03-30T07:00:49.0+02:00";"2020-03-30T07:01:14.1+02:00";
"28178653-470939584";"28178653-10029267";"2020-03-30T00:02:12.0+02:00";"2020-03-30T00:07:12.1+02:00";
"28178653-470948123";"28178653-10026838";"2020-03-30T00:09:55.0+02:00";"2020-03-30T00:49:27.1+02:00";
"28178653-470985899";"28178653-10027662";"2020-03-30T07:14:24.0+02:00";"2020-03-30T07:16:42.1+02:00";
"28178653-470978239";"28178653-10027662";"2020-03-30T06:11:26.0+02:00";"2020-03-30T06:15:35.1+02:00";
"28178653-470983898";"28178653-10027662";"2020-03-30T07:03:41.0+02:00";"2020-03-30T07:04:42.1+02:00";
"28178653-470977283";"28178653-10027662";"2020-03-30T06:01:12.0+02:00";"2020-03-30T06:01:12.1+02:00";
"28178653-470980006";"28178653-10027662";"2020-03-30T06:21:36.0+02:00";"2020-03-30T06:31:36.1+02:00";
"28178653-470982934";"28178653-10027662";"2020-03-30T06:36:36.0+02:00";"2020-03-30T06:57:41.1+02:00";
"28178653-470942940";"28178653-10026858";"2020-03-29T20:22:25.0+02:00";"2020-03-30T00:21:32.1+02:00";
"28178653-470986420";"28178653-10026885";"2020-03-30T07:21:10.0+02:00";"2020-03-30T07:25:10.1+02:00";
"28178653-470982306";"28178653-10218762";"2020-03-30T06:48:43.0+02:00";"2020-03-30T06:49:43.1+02:00";
"28178653-470941225";"28178653-10218762";"2020-03-30T00:10:28.0+02:00";"2020-03-30T00:14:28.1+02:00";
"28178653-470975138";"28178653-10026991";"2020-03-30T05:38:34.0+02:00";"2020-03-30T05:39:34.1+02:00";
"28178653-470953481";"28178653-10028653";"2020-03-29T23:56:31.0+02:00";"2020-03-30T01:10:33.1+02:00";
"28178653-470961791";"28178653-10160162";"2020-03-30T00:12:12.0+02:00";"2020-03-30T02:24:28.1+02:00";
"28178653-470958763";"28178653-10027189";"2020-03-30T01:53:34.0+02:00";"2020-03-30T01:53:34.1+02:00";
"28178653-470938276";"28178653-10027189";"2020-03-30T00:05:02.0+02:00";"2020-03-30T00:05:02.1+02:00";
